description,industry,level,size,line_code,value,Unit,Footnotes
Importance of social objectives a little important,Rental hiring  real estate services,1,total,C020602,195,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Professional scientific  technical services,1,total,C020602,1815,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Computer systems design,2,total,C020602,345,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Other professional scientific,2,total,C020602,1470,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Administrative  support services,1,total,C020602,495,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Education  training,1,total,C020602,252,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Health care  social assistance,1,total,C020602,627,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Arts  recreation services,1,total,C020602,123,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Other services,1,total,C020602,537,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,total,0,total,C020602,14526,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,total,0,619 employees,C020603,9762,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives moderately important,total,0,2049 employees,C020603,2835,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives moderately important,total,0,5099 employees,C020603,786,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives moderately important,total,0,100 employees,C020603,741,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives moderately important,Agriculture forestry  fishing,1,total,C020603,1182,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Agriculture,2,total,C020603,822,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Commercial fishing,2,total,C020603,21,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Forestry  logging,2,total,C020603,78,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Agriculture forestry  fishing support services,2,total,C020603,264,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Mining,1,total,C020603,48,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives moderately important,Manufacturing,1,total,C020603,1602,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Food beverage  tobacco,2,total,C020603,453,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Textile clothing footwear  leather,2,total,C020603,72,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Wood  paper product,2,total,C020603,147,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Printing publishing  recorded media,2,total,C020603,60,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Petroleum coal chemical  associated product,2,total,C020603,114,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Nonmetallic mineral product,2,total,C020603,69,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Metal product,2,total,C020603,300,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Transport and industrial machinery  equipment,2,total,C020603,234,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Other machinery  equipment,2,total,C020603,57,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Other manufacturing,2,total,C020603,96,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Electricity gas water  waste services,1,total,C020603,66,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives moderately important,Construction,1,total,C020603,2286,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Wholesale trade,1,total,C020603,927,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Machinery  equipment wholesaling,2,total,C020603,324,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Other wholesale trade,2,total,C020603,600,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Retail trade,1,total,C020603,1236,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Accommodation  food services,1,total,C020603,2007,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Transport postal  warehousing,1,total,C020603,453,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Information media  telecommunications,1,total,C020603,150,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Publishing,2,total,C020603,48,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Motion picture,2,total,C020603,54,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Telecommunications,2,total,C020603,42,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Financial  insurance services,1,total,C020603,183,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Finance,2,total,C020603,54,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Insurance,2,total,C020603,12,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Auxiliary,2,total,C020603,123,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Rental hiring  real estate services,1,total,C020603,300,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Professional scientific  technical services,1,total,C020603,1542,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Computer systems design,2,total,C020603,201,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Other professional scientific,2,total,C020603,1344,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Administrative  support services,1,total,C020603,522,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Education  training,1,total,C020603,378,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Health care  social assistance,1,total,C020603,756,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Arts  recreation services,1,total,C020603,168,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,Other services,1,total,C020603,306,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives moderately important,total,0,total,C020603,14124,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,total,0,619 employees,C020604,7278,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives very important,total,0,2049 employees,C020604,1941,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives very important,total,0,5099 employees,C020604,681,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives very important,total,0,100 employees,C020604,717,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives very important,Agriculture forestry  fishing,1,total,C020604,744,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Agriculture,2,total,C020604,474,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Commercial fishing,2,total,C020604,15,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Forestry  logging,2,total,C020604,36,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Agriculture forestry  fishing support services,2,total,C020604,216,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Mining,1,total,C020604,33,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives very important,Manufacturing,1,total,C020604,816,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Food beverage  tobacco,2,total,C020604,264,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Textile clothing footwear  leather,2,total,C020604,39,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Wood  paper product,2,total,C020604,36,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives very important,Printing publishing  recorded media,2,total,C020604,36,Number of businesses,1 and 2 and 3 and 6
